entry;description;PoS;PoS detail;alternatives
anderson;;PROPN_NAM;;
andi;;PROPN_NAM;;
andre;;PROPN_NAM;;
andrea;;PROPN_NAM;;
andreas;;PROPN_NAM;;
andrei;;PROPN_NAM;;
andrew;;PROPN_NAM;;
andrews;;PROPN_NAM;;
andrey;;PROPN_NAM;;
andreya;;PROPN_NAM;;
andriy;;PROPN_NAM;;
android;;PROPN_ORG;;
andry;;PROPN_NAM;;
andy;;PROPN_NAM;;
anfield;;PROPN_NAM;;
ange;;F;;
angel;;F;;
angela;;PROPN_NAM;;
angeles;;F;;
angélique;;PROPN_NAM;;
angelo;;F;;
angelou;;F;;
angels;;F;;
angina;;F;;
anglican;;F;;
anglicane;;F;;
angora;;PROPN_LOC;;angola
anicet;;PROPN_NAM;;
anicety;;PROPN_NAM;;
animal;;F;;
animation;;F;;
anjela;;PROPN_NAM;;
anjelika;;PROPN_NAM;;
ann;;PROPN_NAM;;
anna;;PROPN_NAM;;
annalena;;PROPN_NAM;;
anne;;PROPN_NAM;;
annee;;F;;
annees;;F;;
annexe;;F;;
annexes;;F;;
annita;;F;;
anniversaire;;F;;
ans;;F;;
anselme;;PROPN_NAM;;
antaraktike;;PROPN_LOC;;
anthony;;PROPN_NAM;;
anthropologie;;F;;
antikristo;;PROPN_REL;;
antoine;;PROPN_NAM;;
anton;;PROPN_NAM;;
antoni;;PROPN_NAM;;
antonio;;PROPN_NAM;;
antónio;;PROPN_NAM;;
antoniya;;PROPN_NAM;;
antonov;;PROPN_NAM;;
antony;;PROPN_NAM;;
antrocleista;;PROPN_SCI;;
antwerp;;PROPN_LOC;;
anya;;PROPN_NAM;;
aout;;F;;
apartheid;;F;;
apodytes;;PROPN_SCI;;
apollo;;PROPN_ORG;;
apostolique;;F;;
appareil;;F;;
appel;;F;;
application;;F;;
appolinaire;;PROPN_NAM;;
apps;;PROPN_ORG;;
apres;;F;;
arabiya;;PROPN_LOC;;"arabie;arab;arabia;arabes;arabu"
arahomana;;PROPN_NAM;;
arbre;;F;;
arbres;;F;;
archaniotis;;PROPN_NAM;;
arche;;F;;
archivage;;F;;
archives;;F;;
arct ;;PROPN_ORG;;
arena;;F;;
arestovych;;PROPN_NAM;;
aretha;;PROPN_NAM;;
argus;;PROPN_ORG;;
arielle;;PROPN_NAM;;
arizona;;PROPN_LOC;;
arjantine;;PROPN_LOC;;"argentina;argentine"
arjeriya;;PROPN_LOC;;"algeria;aljeriya"
arkansas;;PROPN_LOC;;
arlington;;PROPN_LOC;;
armageddon;;F;;
armand;;PROPN_NAM;;
armando;;PROPN_NAM;;
armel;;PROPN_NAM;;
armenia;;PROPN_ORG;;
armeniya;;PROPN_LOC;;armeni
armstrong;;PROPN_NAM;;
army;;F;;
arnold;;PROPN_NAM;;
arnon;;PROPN_NAM;;
aronstein;;PROPN_NAM;;
arrestation;;F;;
