id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
1901;igihururu;igi;hururu;;;ibi;1;7;8;;;;;0;;NULL
1902;guhurwa;gu;hurwa;huwe;we;;0;NULL;NULL;;;;;0;;NULL
1903;guhusha;gu;husha;hushije;shije;;0;NULL;NULL;;;;;0;;NULL
1904;uruhusha;uru;husha;;;im;1;11;10;;;;;0;impusha;NULL
1905;guhushagirika;gu;hushagirika;hushagiritse;tse;;0;NULL;NULL;;;;;0;;NULL
1906;igihute;igi;hute;;;ibi;1;7;8;;;;;0;;NULL
1907;umuhutu;umu;hutu;;;aba;1;1;2;;;;;0;;NULL
1908;guhuvya;gu;huvya;hubije;bije;;0;NULL;NULL;;;;;0;;NULL
1909;guhuza;gu;huza;huje;je;;0;NULL;NULL;;;;;0;;NULL
1910;igihuza;igi;huza;;;ibi;1;7;8;;;;;0;;NULL
1911;guhuzengwa;gu;huzengwa;huzenwe;nwe;;0;NULL;NULL;;;;;0;;NULL
1912;igihuzu;igi;huzu;;;ibi;1;7;8;;;;;0;;NULL
1913;ihwa;i;hwa;;;ama;1;5;6;;;;;0;;NULL
1914;uruhwa;uru;hwa;;;;1;11;NULL;;;;;1;;NULL
1915;guhwahuka;gu;hwahuka;hwahutse;tse;;0;NULL;NULL;;;;;0;;NULL
1916;guhwahura;gu;hwahura;hwahuye;ye;;0;NULL;NULL;;;;;0;;NULL
1917;guhwamika;gu;hwamika;hwamitse;tse;;0;NULL;NULL;;;;;0;;NULL
1918;guhwana;gu;hwāna;hwānye;nye;;0;NULL;NULL;;;;;0;;NULL
1920;guhwanya;gu;hwanya;hwanije;nije;;0;NULL;NULL;;;;;0;;NULL
1921;sahwanya;;sahwanya;;;;1;NULL;NULL;;;;;0;;NULL
1922;guhwata;gu;hwata;hwase;se;;0;NULL;NULL;;;;;0;;NULL
1923;guhweba;gu;hweba;hwevye;vye;;0;NULL;NULL;;;;;0;;NULL
1924;igihweba;igi;hweba;;;ibi;1;7;8;;;;;0;;NULL
1925;guhwebutsa;gu;hwebutsa;hwebukije;kije;;0;NULL;NULL;;;;;0;;NULL
1926;agahwekere;aga;hwekere;;;;1;12;NULL;;;;;1;;NULL
1927;guhwera;gu;hwēra;hwēreye;reye;;0;NULL;NULL;;;;;0;;NULL
1928;umuhwere;umu;hwere;;;aba;1;1;2;;;;;0;;NULL
1929;guhwerera;gu;hwerera;hwerereye;reye;;0;NULL;NULL;;;;;0;;NULL
1930;guhwererana;gu;hwererana;hwereranye;nye;;0;NULL;NULL;;;;;0;;NULL
1931;guhwereza;gu;hwereza;hwereje;je;;0;NULL;NULL;;;;;0;;NULL
1932;guhwerwa;gu;hwerwa;hwewe;we;;0;NULL;NULL;;;;;0;;NULL
1933;guhweza;gu;hweza;hweje;je;;0;NULL;NULL;;;;;0;;NULL
1934;umuhwi;umu;hwi;;;imi;1;3;4;;;;;0;;NULL
1935;guhwibira;gu;hwibira;hwibiriye;riye;;0;NULL;NULL;;;;;0;;NULL
1936;guhwihwisha;gu;hwihwisha;hwihwishe;she;;0;NULL;NULL;;;;;0;;NULL
1937;uruhwijima;uru;hwijima;;;im;1;11;10;;;;;0;impwijima;NULL
1938;guhwinyiriza;gu;hwinyiriza;hwinyirije;je;;0;NULL;NULL;;;;;0;;NULL
1939;guhwirima;gu;hwirima;hwirimye;mye;;0;NULL;NULL;;;;;0;;NULL
1940;i;;i;;;;3;NULL;NULL;;;;;0;;NULL
1942;kwiba;kw;iba;ivye;vye;;0;NULL;NULL;;;;;0;;NULL
1943;ubwiba;ubw;iba;;;;1;14;NULL;ubgiba;ubg;;;1;;NULL
1944;kwibabaza;kw;ibabaza;ibabaje;je;;0;NULL;NULL;;;;;0;;NULL
1945;kwibagira;kw;ibagira;ibagiye;ye;;0;NULL;NULL;;;;;0;;NULL
1946;kwibagirira;kw;ibagirira;ibagiriye;ye;;0;NULL;NULL;;;;;0;;NULL
1947;kwibargirwa;kw;ibargirwa;ibargiwe;we;;0;NULL;NULL;;;;;0;;NULL
1948;kwibagiza;kw;ibagiza;ibagije;je;;0;NULL;NULL;;;;;0;;NULL
1949;kwibana;kw;ibana;ibanye;nye;;0;NULL;NULL;;;;;0;;NULL
1950;kwibana;kw;ībāna;ībānye;nye;;0;NULL;NULL;;;;;0;;NULL
1951;icibare;ic;ībare;;;ivy;1;7;8;;;;;0;;NULL
1952;kwibaririra;kw;ībarīrira;ībarīriye;ye;;0;NULL;NULL;;;;;0;;NULL
1953;kwibaza;kw;ībaza;ībajije;jije;;0;NULL;NULL;;;;;0;;NULL
1954;kwibesha;kw;ībesha;ībeshe;she;;0;NULL;NULL;;;;;0;;NULL
1955;kwibwa;kw;ībwa;ībwe;bwe;;0;NULL;NULL;kwibga;;ībga;bge;0;;NULL
1956;kwibwira;kw;ībwīra;ībwīye;ye;;0;NULL;NULL;kwibgira;;ībgīra;ye;0;;NULL
1957;kwibwira;kw;ībwira;ībwiye;ye;;0;NULL;NULL;kwibgira;;ībgira;ye;0;;NULL
1958;kwibwiza;kw;ībwiza;ībwije;je;;0;NULL;NULL;kwibgiza;;ībgiza;je;0;;NULL
1959;kwibibira;kw;ībibira;ībibiye;ye;;0;NULL;NULL;;;;;0;;NULL
1960;kwibikira;kw;ībikira;ībikiye;ye;;0;NULL;NULL;;;;;0;;NULL
1961;kwibira;kw;ībira;ībiye;ye;;0;NULL;NULL;;;;;0;;NULL
1962;kwibirana;kw;ībirana;ībiranye;nye;;0;NULL;NULL;;;;;0;;NULL
1963;kwibirira;kw;ībirira;ībiriye;ye;;0;NULL;NULL;;;;;0;;NULL
1964;kwibisha;kw;ībisha;ībishije;shije;;0;NULL;NULL;;;;;0;;NULL
1965;kwibiza;kw;ībiza;ībije;je;;0;NULL;NULL;;;;;0;;NULL
1966;kwibizwa;kw;ībizwa;ībijwe;jwe;;0;NULL;NULL;;;;;0;;NULL
1967;icibo;ic;ībo;;;ivy;1;7;8;;;;;0;;NULL
1968;kwiboha;kw;īboha;īboshe;she;;0;NULL;NULL;;;;;0;;NULL
1969;kwibona;kw;ībona;ībonye;nye;;0;NULL;NULL;;;;;0;;NULL
1970;ubwibone;ubw;ībone;;;;1;14;NULL;ubgibone;ubg;;;1;;NULL
1971;kwibonekeza;kw;ībonekeza;ībonekeje;je;;0;NULL;NULL;;;;;0;;NULL
1972;kwibonesha;kw;ībonesha;ībonesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
1973;kwibuka;kw;ībuka;ībutse;tse;;0;NULL;NULL;;;;;0;;NULL
1974;icibukiriza;ic;ībukiriza;;;ivy;1;7;8;;;;;0;;NULL
1975;kwibukisha;kw;ībukīsha;ībukīshije;shije;;0;NULL;NULL;;;;;0;;NULL
1976;akibuko;ak;ībuko;;;utw;1;12;13;;;;;0;;NULL
1977;umwibuko;umw;ībuko;;;imy;1;3;4;;;;;0;;NULL
1978;kwibumbabumba;kw;ībūmbabūmba;ībūmbabūmvye;mvye;;0;NULL;NULL;;;;;0;;NULL
1979;kwibura;kw;ībūra;ībūye;ye;;0;NULL;NULL;;;;;0;;NULL
1980;kwiburanya;kw;ībūranya;ībūranije;nije;;0;NULL;NULL;;;;;0;;NULL
1981;kwiburuka;kw;īburuka;īburutse;tse;;0;NULL;NULL;;;;;0;;NULL
1982;kwiburungushura;kw;īburungushura;īburungushuye;ye;;0;NULL;NULL;;;;;0;;NULL
1983;kwibutsa;kw;ībutsa;ībukije;kije;;0;NULL;NULL;;;;;0;;NULL
1984;icibutso;ic;ībutso;;;ivy;1;7;8;;;;;0;;NULL
1985;kwibutswa;kw;ībutswa;ībukijwe;kijwe;;0;NULL;NULL;;;;;0;;NULL
1986;kwibuza;kw;ībuza;ībujije;jije;;0;NULL;NULL;;;;;0;;NULL
1987;kwica;kw;īca;īshe;she;;0;NULL;NULL;;;;;0;;NULL
1988;kwicana;kw;īcana;īcanye;nye;;0;NULL;NULL;;;;;0;;NULL
1989;umwicanyi;umw;icanyi;;;ab;1;1;2;;;;;0;;NULL
1990;ubwicanyi;ubw;īcanyi;;;;1;14;NULL;ubgicanyi;ubg;;;1;;NULL
1991;kwicara;kw;īcara;īcaye;ye;;0;NULL;NULL;;;;;0;;NULL
1992;kwicarana;kw;īcarana;īcaranye;nye;;0;NULL;NULL;;;;;0;;NULL
1993;kwicarika;kw;īcarika;īcaritse;tse;;0;NULL;NULL;;;;;0;;NULL
1994;kwicarikwa;kw;īcarikwa;īcaritswe;tswe;;0;NULL;NULL;;;;;0;;NULL
1995;kwicarira;kw;īcarira;īcariye;ye;;0;NULL;NULL;;;;;0;;NULL
1996;icicaro;ic;īcaro;;;ivy;1;7;8;;;;;0;;NULL
1997;kwicazwa;kw;īcazwa;īcajwe;jwe;;0;NULL;NULL;;;;;0;;NULL
1998;kwicira;kw;īcira;īciye;ye;;0;NULL;NULL;;;;;0;;NULL
1999;kwiciraho;kw;īciraho;īciyeho;yeho;;0;NULL;NULL;;;;;0;;NULL
2000;kwicisha;kw;īcisha;īcishije;shije;;0;NULL;NULL;;;;;0;;NULL
2001;kwicumba;kw;īcumba;īcumvye;mvye;;0;NULL;NULL;;;;;0;;NULL
2002;kwicungura;kw;īcungura;īcunguye;ye;;0;NULL;NULL;;;;;0;;NULL
2003;kwicunguza;kw;īcunguza;īcunguje;je;;0;NULL;NULL;;;;;0;;NULL
2004;kwicuza;kw;īcuza;īcujije;jije;;0;NULL;NULL;;;;;0;;NULL
2005;kwidegemvya;kw;īdegēmvya;īdegēmvye;mvye;;0;NULL;NULL;;;;;0;;NULL
2006;umwidegemvyo;umw;īdegēmvyo;;;;1;3;NULL;;;;;0;;NULL
2007;kwidodomba;kw;īdodōmba;īdodōmvye;mvye;;0;NULL;NULL;;;;;0;;NULL
2008;umwidodombo;umw;idodombo;;;imy;1;3;4;;;;;0;;NULL
2009;kwidoga;kw;īdōga;īdōze;ze;;0;NULL;NULL;;;;;0;;NULL
2010;kwidohora;kw;īdohōra;īdohōye;ye;;0;NULL;NULL;;;;;0;;NULL
2011;kwifasha;kw;īfasha;īfashije;shije;;0;NULL;NULL;;;;;0;;NULL
2012;kwifata;kw;īfata;īfashe;she;;0;NULL;NULL;;;;;0;;NULL
2013;kwifuba;kw;īfuba;īfuvye;vye;;0;NULL;NULL;;;;;0;;NULL
2014;kwifubika;kw;īfubika;īfubitse;tse;;0;NULL;NULL;;;;;0;;NULL
2015;kwipfuriza;kw;īpfuriza;īpfurije;je;;0;NULL;NULL;kwifuriza;;ifuriza;je;0;;NULL
2016;kwifutanya;kw;īfūtānya;īfūtānye;nye;;0;NULL;NULL;;;;;0;;NULL
2017;kwifuza;kw;īfūza;īfūje;je;;0;NULL;NULL;;;;;0;;NULL
2018;kwifuzwa;kw;īfūzwa;īfūjwe;jwe;;0;NULL;NULL;;;;;0;;NULL
2019;kwifyikinyura;kw;īfyikinyura;īfyikinyuye;ye;;0;NULL;NULL;;;;;0;;NULL
2020;kwiga;kw;iga;ize;ze;;0;NULL;NULL;;;;;0;;NULL
2021;kwigaba;kw;īgaba;īgavye;vye;;0;NULL;NULL;;;;;0;;NULL
2022;kwigana;kw;īgāna;īgānye;nye;;0;NULL;NULL;;;;;0;;NULL
2023;kwiganira;kw;īgānira;īgāniye;ye;;0;NULL;NULL;;;;;0;;NULL
2024;kwiganwa;kw;īgānwa;īgānywe;nywe;;0;NULL;NULL;;;;;0;;NULL
2025;kwiganyira;kw;īganyira;īganyiye;ye;;0;NULL;NULL;;;;;0;;NULL
2026;kwiganza;kw;īganza;īganje;nje;;0;NULL;NULL;;;;;0;;NULL
2027;kwigaragura;kw;īgaragura;īgaraguye;ye;;0;NULL;NULL;;;;;0;;NULL
2028;kwigaramangira;kw;īgaramangira;īgaramangiye;ye;;0;NULL;NULL;;;;;0;;NULL
2029;kwigaranzura;kw;īgaranzura;īgaranzuye;ye;;0;NULL;NULL;;;;;0;;NULL
2030;kwigarukana;kw;īgarukana;īgarukanye;nye;;0;NULL;NULL;;;;;0;;NULL
2031;kwigarura;kw;īgarura;īgaruye;ye;;0;NULL;NULL;;;;;0;;NULL
2032;kwigaya;kw;īgaya;īgaye;ye;;0;NULL;NULL;;;;;0;;NULL
2033;uruyige;uruy;ige;;;inz;1;11;11;;;;;0;;NULL
2034;kwigemagema;kw;īgemagema;īgemagemye;mye;;0;NULL;NULL;;;;;0;;NULL
2035;umwigeme;umw;igeme;;;ab;1;1;2;;;;;0;;NULL
2036;kwigenera;kw;īgenera;īgeneye;ye;;0;NULL;NULL;;;;;0;;NULL
2037;kwigera;kw;īgera;īgeze;ze;;0;NULL;NULL;;;;;0;;NULL
2038;kwigereranya;kw;īgereranya;īgereranye;nye;;0;NULL;NULL;;;;;0;;NULL
2039;kwigereza;kw;īgereza;īgereje;je;;0;NULL;NULL;;;;;0;;NULL
2040;kwigina;kw;īgina;īginye;nye;;0;NULL;NULL;;;;;0;;NULL
2041;kwiginana;kw;īginana;īginanye;nye;;0;NULL;NULL;;;;;0;;NULL
2042;kwiginira;kw;īginira;īginiye;ye;;0;NULL;NULL;;;;;0;;NULL
2043;kwigira;kw;īgīra;īgīye;ye;;0;NULL;NULL;;;;;0;;NULL
2044;kwigirira;kw;īgirira;īgiriye;ye;;0;NULL;NULL;;;;;0;;NULL
2045;kwigisha;kw;īgīsha;īgīshije;shije;;0;NULL;NULL;;;;;0;;NULL
2046;umwigisha;umw;igisha;;;ab;1;1;2;;;;;0;;NULL
2047;kwigishanya;kw;īgīshanya;īgīshanije;nije;;0;NULL;NULL;;;;;0;;NULL
2048;imyigishe;imy;īgīshe;;;;1;NULL;4;;;;;0;;NULL
2049;kwigishiriza;kw;īgishiriza;īgishirije;je;;0;NULL;NULL;;;;;0;;NULL
2050;kwigishirizwa;kw;īgishirizwa;īgishirijwe;jwe;;0;NULL;NULL;;;;;0;;NULL
2051;inyigisho;iny;igisho;;;iny;1;9;10;;;;;0;;NULL
2052;kwigishwa;kw;īgīshwa;īgīshijwe;shijwe;;0;NULL;NULL;;;;;0;;NULL
2053;umwigishwa;umw;igishwa;;;ab;1;1;2;;;;;0;;NULL
2054;ubwigobeko;ubw;īgobeko;;;;1;14;NULL;ubgigobeko;ubg;;;1;;NULL
2055;kwigora;kw;igora;igoye;ye;;0;NULL;NULL;;;;;0;;NULL
2056;kwigorora;kw;igorora;igoroye;ye;;0;NULL;NULL;;;;;0;;NULL
2057;kwigumira;kw;īgumira;īgumiye;ye;;0;NULL;NULL;;;;;0;;NULL
2058;kwigunga;kw;īgūnga;īgūnze;nze;;0;NULL;NULL;;;;;0;;NULL
2059;kwigungagiza;kw;īgūngagiza;īgūngagije;je;;0;NULL;NULL;;;;;0;;NULL
2060;kwigungana;kw;īgūngana;īgūnganye;nye;;0;NULL;NULL;;;;;0;;NULL
2061;kwigungirako;kw;īgūngirako;īgūngiyeko;yeko;;0;NULL;NULL;;;;;0;;NULL
2062;kwigura;kw;īgura;īguze;ze;;0;NULL;NULL;;;;;0;;NULL
2063;kwiha;kw;īha;īhaye;haye;;0;NULL;NULL;;;;;0;;NULL
2064;urwiha;urw;īha;;;imp;1;11;10;;;;;0;;NULL
2065;kwihahiriza;kw;īhahiriza;īhahirije;je;;0;NULL;NULL;;;;;0;;NULL
2066;kwihakana;kw;īhakana;īhakanye;nye;;0;NULL;NULL;;;;;0;;NULL
2067;kwihamba;kw;īhamba;īhamvye;mvye;;0;NULL;NULL;;;;;0;;NULL
2068;kwihambira;kw;īhāmbīra;īhāmbīye;ye;;0;NULL;NULL;;;;;0;;NULL
2069;kwihamburura;kw;īhamburura;īhamburuye;ye;;0;NULL;NULL;;;;;0;;NULL
2070;kwihana;kw;īhana;īhanye;nye;;0;NULL;NULL;;;;;0;;NULL
2071;kwihanagura;kw;īhanagura;īhanaguye;ye;;0;NULL;NULL;;;;;0;;NULL
2072;kwihanaguza;kw;īhanaguza;īhanaguje;je;;0;NULL;NULL;;;;;0;;NULL
2073;kwihandura;kw;īhandūra;īhandūye;ye;;0;NULL;NULL;;;;;0;;NULL
2074;kwihangana;kw;ihangana;ihanganye;nye;;0;NULL;NULL;;;;;0;;NULL
2075;urwihangane;urw;īhāngāne;;;;1;11;NULL;;;;;1;;NULL
2076;kwihanganira;kw;īhanganira;īhanganiye;ye;;0;NULL;NULL;;;;;0;;NULL
2077;kwihanikiriza;kw;īhanikiriza;īhanikirije;je;;0;NULL;NULL;;;;;0;;NULL
2078;kwihaniza;kw;īhaniza;īhanije;je;;0;NULL;NULL;;;;;0;;NULL
2079;kwihanukira;kw;īhanukīra;īhanukīye;ye;;0;NULL;NULL;;;;;0;;NULL
2080;kwiharura;kw;īharūra;īharūye;ye;;0;NULL;NULL;;;;;0;;NULL
2081;kwihata;kw;īhata;īhase;se;;0;NULL;NULL;;;;;0;;NULL
2082;kwihaya;kw;īhaya;īhaye;ye;;0;NULL;NULL;;;;;0;;NULL
2083;kwihayagiza;kw;īhayagiza;īhayagije;je;;0;NULL;NULL;;;;;0;;NULL
2084;kwiheba;kw;īheba;īhevye;vye;;0;NULL;NULL;;;;;0;;NULL
2085;kwihebura;kw;īhebūra;īhebūye;ye;;0;NULL;NULL;;;;;0;;NULL
2086;kwihera;kw;īhēra;īhēreye;reye;;0;NULL;NULL;;;;;0;;NULL
2087;kwiherera;kw;īherēra;īherēreye;reye;;0;NULL;NULL;;;;;0;;NULL
2088;kwihererana;kw;īhererana;īhereranye;nye;;0;NULL;NULL;;;;;0;;NULL
2089;kwihereza;kw;īhereza;īhereje;je;;0;NULL;NULL;;;;;0;;NULL
2090;kwihindura;kw;īhindura;īhinduye;ye;;0;NULL;NULL;;;;;0;;NULL
2091;kwihindukiza;kw;īhindukiza;īhindukije;je;;0;NULL;NULL;;;;;0;;NULL
2092;kwihisha;kw;ihisha;ihishije;shije;;0;NULL;NULL;;;;;0;;NULL
2093;urwihisho;urw;ihisho;;;imp;1;11;10;;;;;0;;NULL
2094;ubwihisho;ubw;īhisho;;;;1;14;NULL;ubgihisho;ubg;;;1;;NULL
2095;kwihonda;kw;īhonda;īhonze;nze;;0;NULL;NULL;;;;;0;;NULL
2096;kwihonga;kw;īhonga;īhonze;nze;;0;NULL;NULL;;;;;0;;NULL
2097;kwihorera;kw;īhorera;īhoreye;ye;;0;NULL;NULL;;;;;0;;NULL
2098;kwihumanya;kw;īhumanya;īhumanije;nije;;0;NULL;NULL;;;;;0;;NULL
2099;kwihumura;kw;īhumūra;īhumūye;ye;;0;NULL;NULL;;;;;0;;NULL
2100;kwihuta;kw;ihuta;ihuse;se;;0;NULL;NULL;;;;;0;;NULL
2101;kwihweza;kw;īhwēza;īhwēje;je;;0;NULL;NULL;;;;;0;;NULL
2102;kwijajara;kw;ījajara;ījajaye;ye;;0;NULL;NULL;;;;;0;;NULL
2103;kwijijanya;kw;ījijānya;ījijānye;nye;;0;NULL;NULL;;;;;0;;NULL
2104;icijiji;ic;ījīji;;;ivy;1;7;8;;;;;0;;NULL
2105;umwijima;umw;ijima;;;;1;3;NULL;;;;;0;;NULL
2106;kwijirwa;kw;ījīrwa;ījīriwe;riwe;;0;NULL;NULL;;;;;0;;NULL
2107;kwikakisha;kw;īkakīsha;īkakīshije;shije;;0;NULL;NULL;;;;;0;;NULL
2108;kwikanga;kw;īkānga;īkānze;nze;;0;NULL;NULL;;;;;0;;NULL
2109;kwikangura;kw;īkangura;īkanguye;ye;;0;NULL;NULL;;;;;0;;NULL
2110;kwikanya;kw;īkanya;īkanye;nye;;0;NULL;NULL;;;;;0;;NULL
2111;kwikebana;kw;īkebana;īkebanye;nye;;0;NULL;NULL;;;;;0;;NULL
2112;kwikebanura;kw;īkebanura;īkebanuye;ye;;0;NULL;NULL;;;;;0;;NULL
2113;kwikebukana;kw;īkebukana;īkebukanye;nye;;0;NULL;NULL;;;;;0;;NULL
2114;kwikekako;kw;īkēkako;īkētseko;tseko;;0;NULL;NULL;;;;;0;;NULL
2115;kwikemura;kw;īkemūra;īkemūye;ye;;0;NULL;NULL;;;;;0;;NULL
2116;kwikenga;kw;īkēnga;īkēnze;nze;;0;NULL;NULL;;;;;0;;NULL
2117;kwikenura;kw;īkenura;īkenuye;ye;;0;NULL;NULL;;;;;0;;NULL
2118;iki;;iki;;;;5;NULL;NULL;;;;;0;;NULL
2119;kwikinga;kw;īkīnga;īkīnze;nze;;0;NULL;NULL;;;;;0;;sw
2120;kwikingira;kw;īkingīra;īkingīriye;riye;;0;NULL;NULL;;;;;0;;NULL
2121;kwikingiriza;kw;īkingiriza;īkingirije;je;;0;NULL;NULL;;;;;0;;NULL
2122;kwikiranura;kw;īkirānura;īkirānuye;ye;;0;NULL;NULL;;;;;0;;NULL
2123;kwikiza;kw;īkiza;īkijije;jije;;0;NULL;NULL;;;;;0;;NULL
2124;kwikomeretsa;kw;īkomeretsa;īkomerekeje;keje;;0;NULL;NULL;;;;;0;;NULL
2125;umwikomo;umw;ikomo;;;imy;1;3;4;;;;;0;;NULL
2126;kwikomvomvora;kw;īkōmvōmvora;īkōmvōmvoye;ye;;0;NULL;NULL;;;;;0;;NULL
2127;kwikora;kw;īkora;īkoze;ze;;0;NULL;NULL;;;;;0;;NULL
2128;kwikorakora;kw;īkorakora;īkorakoye;ye;;0;NULL;NULL;;;;;0;;NULL
2129;kwikorera;kw;ikorera;ikoreye;ye;;0;NULL;NULL;;;;;0;;NULL
2130;kwikoroza;kw;īkoroza;īkoroje;je;;0;NULL;NULL;;;;;0;;NULL
2131;kwikubiranya;kw;īkubiranya;īkubiranije;nije;;0;NULL;NULL;;;;;0;;NULL
2132;kwikubita;kw;īkubita;īkubise;se;;0;NULL;NULL;;;;;0;;NULL
2133;kwikumira;kw;īkumīra;īkumīriye;riye;;0;NULL;NULL;;;;;0;;NULL
2134;kwikunda;kw;īkūnda;īkūnze;nze;;0;NULL;NULL;;;;;0;;NULL
2135;kwikundiriza;kw;īkūndiriza;īkūndirije;je;;0;NULL;NULL;;;;;0;;NULL
2136;kwikura;kw;īkūra;īkūye;ye;;0;NULL;NULL;;;;;0;;NULL
2137;kwikwega;kw;īkwega;īkweze;ze;;0;NULL;NULL;;;;;0;;NULL
2138;kwima;kw;īma;īmye;mye;;0;NULL;NULL;;;;;0;;NULL
2139;kwimana;kw;īmana;īmanye;nye;;0;NULL;NULL;;;;;0;;NULL
2140;kwimanika;kw;īmanika;īmanitse;tse;;0;NULL;NULL;;;;;0;;NULL
2141;kwimanya;kw;īmānya;īmānye;nye;;0;NULL;NULL;;;;;0;;NULL
2142;kwimanya;kw;imanya;imanye;nye;;0;NULL;NULL;;;;;0;;NULL
2143;kwimba;kw;īmba;īmvye;mvye;;0;NULL;NULL;;;;;0;;NULL
2144;kwimbwa;kw;īmbwa;īmbwe;mbwe;;0;NULL;NULL;kwimbga;;īmbga;mbge;0;;NULL
2145;kwimbira;kw;īmbira;īmbiye;ye;;0;NULL;NULL;;;;;0;;NULL
2146;kwimbirira;kw;īmbirira;īmbiriye;ye;;0;NULL;NULL;;;;;0;;NULL
2147;kwimbisha;kw;īmbīsha;īmbīshije;shije;;0;NULL;NULL;;;;;0;;NULL
2148;kwimbura;kw;īmbura;īmbuye;ye;;0;NULL;NULL;;;;;0;;NULL
2149;kwimburira;kw;īmburira;īmburiye;ye;;0;NULL;NULL;;;;;0;;NULL
2150;kwimburwa;kw;īmburwa;īmbuwe;we;;0;NULL;NULL;;;;;0;;NULL
2151;ivyimburwa;ivy;īmburwa;;;;1;NULL;NULL;;;;;0;;NULL
2152;kwimbuza;kw;īmbuza;īmbuje;je;;0;NULL;NULL;;;;;0;;NULL
2153;umwimbuzi;umw;īmbuzi;;;ab;1;1;2;;;;;0;;NULL
2154;kwimenya;kw;īmenya;īmenye;nye;;0;NULL;NULL;;;;;0;;NULL
2155;kwimenyereza;kw;īmenyereza;īmenyereje;je;;0;NULL;NULL;;;;;0;;NULL
2156;umwimenyerezo;umw;imenyerezo;;;imy;1;3;4;;;;;0;;NULL
2157;kwimeza;kw;īmeza;īmejeje;jeje;;0;NULL;NULL;;;;;0;;NULL
2158;kwimika;kw;īmika;īmitse;tse;;0;NULL;NULL;;;;;0;;NULL
2159;kwimikwa;kw;īmikwa;īmitswe;tswe;;0;NULL;NULL;;;;;0;;NULL
2160;kwimira;kw;īmira;īmiye;ye;;0;NULL;NULL;;;;;0;;NULL
2161;kwimisha;kw;īmīsha;īmīshije;shije;;0;NULL;NULL;;;;;0;;NULL
2162;kwimotereza;kw;īmotereza;īmotereje;je;;0;NULL;NULL;;;;;0;;NULL
2163;kwimosha;kw;īmosha;īmosheje;sheje;;0;NULL;NULL;;;;;0;;NULL
2164;kwimuka;kw;īmuka;īmutse;tse;;0;NULL;NULL;;;;;0;;NULL
2165;kwimukana;kw;īmukana;īmukanye;nye;;0;NULL;NULL;;;;;0;;NULL
2166;kwimukira;kw;īmukira;īmukiye;ye;;0;NULL;NULL;;;;;0;;NULL
2167;kwimura;kw;īmura;īmuye;ye;;0;NULL;NULL;;;;;0;;NULL
2168;kwimurwa;kw;īmurwa;īmuwe;we;;0;NULL;NULL;;;;;0;;NULL
2169;kwimyira;kw;īmyīra;īmyīriye;riye;;0;NULL;NULL;;;;;0;;NULL
2170;i bwina;i bw;īna;;;;1;NULL;NULL;i bgina;i bg;;;1;;NULL
2171;inabukwe;;inabukwe;;;ba ;1;1;2;;;;;0;;NULL
2173;inasenge;;inasenge;;;ba ;1;1;2;;;;;0;;NULL
2174;kwinegura;kw;īnegura;īneguye;ye;;0;NULL;NULL;;;;;0;;NULL
2175;kwinezereza;kw;īnezereza;īnezereje;je;;0;NULL;NULL;;;;;0;;NULL
2176;kwinginga;kw;īngīnga;īngīnze;nze;;0;NULL;NULL;;;;;0;;NULL
2177;kwingingira;kw;īngīngira;īngīngiye;ye;;0;NULL;NULL;;;;;0;;NULL
2178;kwingingisha;kw;īngīngīsha;īngīngīshije;shije;;0;NULL;NULL;;;;;0;;NULL
2179;kwingingwa;kw;īngīngwa;īngīnzwe;nzwe;;0;NULL;NULL;;;;;0;;NULL
2180;umwingo;umw;ingo;;;imy;1;3;4;;;;;0;;NULL
2181;kwiniga;kw;īniga;īnize;ze;;0;NULL;NULL;;;;;0;;NULL
2182;kwinika;kw;īnika;īnitse;tse;;0;NULL;NULL;;;;;0;;NULL
2183;kwinikira;kw;īnikira;īnikiye;ye;;0;NULL;NULL;;;;;0;;NULL
2184;utwininga;utw;ininga;;;;1;NULL;13;;;;;0;;NULL
2185;kwinjira;kw;injira;injiye;ye;;0;NULL;NULL;;;;;0;;NULL
2186;kwinjirana;kw;īnjirana;īnjiranye;nye;;0;NULL;NULL;;;;;0;;NULL
2187;umwinjiro;umw;īnjiro;;;imy;1;3;4;;;;;0;;NULL
2188;kwinjiza;kw;īnjiza;īnjije;je;;0;NULL;NULL;;;;;0;;NULL
2189;ino;;īno;;;;5;NULL;NULL;;;;;0;;NULL
2190;-inshi;-;īnshi;;;;2;NULL;NULL;;;;;2;;NULL
2191;kwinura;kw;īnura;inuye;ye;;0;NULL;NULL;;;;;0;;NULL
2192;kwinukiriza;kw;īnukiriza;īnukirije;je;;0;NULL;NULL;;;;;0;;NULL
2193;kwinyegeza;kw;īnyegeza;īnyegeje;je;;0;NULL;NULL;;;;;0;;NULL
2194;kwinyugunyura;kw;īnyugunyura;īnyugunyuye;ye;;0;NULL;NULL;;;;;0;;NULL
2195;kwinyuguta;kw;īnyuguta;īnyuguse;se;;0;NULL;NULL;;;;;0;;NULL
2196;kwipfuka;kw;īpfuka;īpfutse;tse;;0;NULL;NULL;;;;;0;;NULL
2197;kwipfukurura;kw;īpfukurura;īpfukuruye;ye;;0;NULL;NULL;;;;;0;;NULL
